iter	Passed	Remaining
0	2	1186
1	5	1092
2	7	1033
3	10	994
4	12	974
5	14	960
6	16	934
7	19	939
8	21	947
9	24	950
10	26	945
11	28	933
12	31	926
13	33	921
14	35	914
15	37	907
16	40	904
17	42	899
18	44	895
19	46	890
20	49	890
21	52	893
22	54	895
23	57	898
24	59	899
25	62	898
26	64	890
27	66	885
28	68	874
29	70	863
30	71	853
31	73	844
32	75	834
33	76	828
34	78	819
35	80	811
36	82	811
37	85	810
38	87	805
39	88	797
40	90	790
41	91	783
42	93	776
43	95	769
44	97	767
45	99	762
46	100	756
47	102	751
48	104	746
49	106	742
50	107	736
51	109	731
52	110	726
53	112	724
54	114	719
55	116	714
56	117	709
57	119	705
58	121	700
59	122	696
60	124	691
61	125	686
62	127	684
63	130	682
64	131	680
65	133	676
66	135	673
67	137	669
68	138	664
69	140	660
70	142	658
71	143	655
72	145	652
73	147	650
74	149	647
75	151	646
76	153	642
77	154	639
78	156	637
79	158	635
80	161	634
81	162	631
82	164	628
83	165	624
84	167	621
85	169	618
86	171	615
87	172	613
88	174	610
89	176	607
90	178	604
91	179	601
92	181	599
93	183	596
94	184	593
95	186	590
96	187	587
97	189	584
98	191	582
99	193	579
100	195	577
101	197	575
102	199	574
103	201	572
104	202	570
105	204	567
106	206	565
107	208	562
108	210	560
109	212	559
110	214	557
111	216	556
112	218	555
113	220	554
114	223	552
115	225	551
116	228	551
117	230	550
118	232	548
119	233	545
120	235	544
121	238	542
122	240	540
123	242	539
124	244	537
125	246	535
126	248	533
127	249	530
128	251	529
129	254	527
130	256	525
131	257	523
132	259	520
133	260	518
134	262	515
135	264	512
136	265	510
137	267	507
138	269	505
139	270	502
140	272	499
141	273	497
142	275	494
143	276	492
144	278	489
145	280	487
146	281	484
147	283	482
148	285	481
149	287	478
150	288	476
151	290	474
152	292	472
153	294	469
154	295	467
155	297	465
156	299	463
157	301	461
158	302	458
159	304	456
160	306	454
161	307	452
162	308	449
163	310	447
164	312	444
165	313	442
166	315	440
167	317	438
168	318	435
169	320	433
170	321	430
171	323	428
172	324	426
173	326	423
174	327	421
175	329	419
176	331	417
177	333	416
178	336	414
179	337	412
180	339	410
181	341	408
182	343	406
183	345	405
184	346	402
185	347	400
186	349	398
187	351	396
188	353	394
189	355	392
190	356	390
191	357	387
192	359	385
193	361	383
194	363	382
195	365	380
196	367	378
197	369	376
198	370	374
199	372	372
200	374	370
201	375	368
202	377	366
203	379	364
204	380	362
205	382	360
206	384	358
207	385	356
208	387	353
209	388	351
210	390	349
211	392	348
212	394	346
213	396	344
214	398	342
215	399	340
216	401	338
217	403	336
218	405	334
219	407	333
220	408	331
221	410	329
222	412	327
223	414	325
224	415	323
225	417	321
226	419	319
227	420	317
228	422	315
229	423	313
230	425	311
231	427	309
232	429	307
233	431	305
234	432	303
235	434	301
236	435	299
237	437	297
238	439	295
239	441	294
240	442	292
241	444	290
242	446	288
243	448	286
244	450	285
245	452	283
246	454	281
247	455	279
248	457	277
249	459	275
250	461	273
251	463	272
252	464	270
253	466	268
254	468	266
255	469	264
256	471	262
257	474	260
258	476	259
259	478	257
260	480	255
261	482	253
262	483	252
263	485	250
264	487	248
265	488	246
266	490	244
267	492	242
268	494	240
269	496	238
270	498	237
271	499	235
272	501	233
273	503	231
274	505	229
275	507	227
276	508	225
277	510	224
278	512	222
279	513	220
280	515	218
281	517	216
282	518	214
283	521	212
284	522	210
285	524	209
286	526	207
287	528	205
288	530	203
289	532	201
290	534	200
291	536	198
292	538	196
293	540	194
294	541	192
295	543	191
296	545	189
297	547	187
298	549	185
299	551	183
300	552	181
301	554	179
302	556	178
303	557	176
304	560	174
305	562	172
306	564	170
307	565	169
308	567	167
309	569	165
310	570	163
311	573	161
312	574	159
313	576	157
314	578	156
315	580	154
316	582	152
317	584	150
318	585	148
319	587	146
320	589	145
321	592	143
322	594	141
323	596	139
324	598	138
325	600	136
326	602	134
327	603	132
328	605	130
329	607	128
330	608	126
331	610	125
332	612	123
333	613	121
334	615	119
335	617	117
336	619	115
337	620	113
338	622	112
339	624	110
340	625	108
341	627	106
342	629	104
343	631	102
344	633	100
345	634	99
346	636	97
347	637	95
348	639	93
349	641	91
350	643	89
351	645	88
352	647	86
353	649	84
354	651	82
355	652	80
356	655	78
357	656	77
358	658	75
359	660	73
360	661	71
361	663	69
362	665	67
363	667	65
364	669	64
365	671	62
366	673	60
367	675	58
368	676	56
369	678	55
370	681	53
371	683	51
372	684	49
373	686	47
374	688	45
375	690	44
376	691	42
377	693	40
378	695	38
379	696	36
380	698	34
381	700	32
382	702	31
383	704	29
384	706	27
385	708	25
386	709	23
387	711	22
388	713	20
389	714	18
390	716	16
391	718	14
392	720	12
393	723	11
394	725	9
395	727	7
396	729	5
397	731	3
398	733	1
399	735	0
