,kernelshap,samplingshap,lime,occlusion,treeshap,consensus
area,192897.77871186807,201045.44404880702,100551.53698532871,263023.49332334514,0.23205945157150193,138870.353457107
sqft_1,13208.21372956779,12157.236908509996,7022.5784836593675,18024.5766344195,0.006348866112644761,12273.896010020306
sqft_fbsmt,7278.5706420063225,6771.419436289473,5810.021383196133,23715.71346692945,0.003557102583155274,7973.097017163743
grade,22169.657552289686,22604.740103076132,15196.13615646904,24498.368135332494,0.0231209806745014,19765.89569536429
fbsmt_grade,24972.46645562436,24670.770897076327,6252.537886561901,47214.36916495492,0.00823440244458585,21568.14047860465
condition,20721.148903486388,22740.134995320033,5934.501209162871,26816.531027913443,0.00945572159220055,16235.257235506713
stories,7252.3874557887775,6256.667310030672,6136.673059588633,12358.81806182267,0.005652147793749052,5494.950125690505
beds,2802.0622808956045,1442.3683166142075,5017.532642852837,2323.929745138453,0.0009417466078798394,1862.047773686215
gara_sqft,10790.60113044628,11484.853134143497,6677.901186226523,15370.457969880314,0.008721577855173605,8720.584838204435
wfnt,0.0,0.0,8019.48254262479,0.0,0.0016117556380880057,1547.4119375600203
greenbelt,4851.022602708842,1177.9043239412645,5794.123341734144,16287.491689153663,0.0003909535342413484,3871.4501436757064
noise_traffic,15721.1749284535,14071.201194304569,9755.604266194616,40623.24532731948,0.011755270743187224,12629.980088376993
view_olympics,354.31591783571787,111.79930057974205,4581.417495790066,658.9269519157242,0.00039450617974958493,1005.8847898932205
view_cascades,4747.023579234241,1486.2041704237242,4996.541791453033,2349.7862208178162,0.0007632558594073072,2625.446818077156
view_territorial,3195.3522524662844,1186.3209431105129,6218.358481482362,1253.7616869465487,0.0007326619189635381,1609.0209016195863
view_sound,5021.275302321579,5120.610466232145,8330.623563781053,6808.127248952972,0.003629857953404462,5283.383962208031
view_lakewash,7107.482314200679,5441.54178295817,9277.769612197877,37408.20546143737,0.0027060845676772443,9319.527275090508
view_other,0.0,0.0,5950.250667514286,0.0,4.409936214039356e-05,1132.753436912351
submarket,99513.66881483092,91991.15459819678,58352.37710418429,167754.32759403717,0.009899743991407748,66660.6670322594
log_sqft,122028.81751685798,120375.11024742415,60135.58459596946,160304.88486898583,0.10312561322523174,97793.18844220064
year,116311.38140080798,116754.75688135483,264980.80373714346,120804.57638820152,0.05521846735645062,93108.23581385994
crisis_2008,0.0,0.0,5729.230939819523,0.0,8.302534542564951e-05,1073.6731143563181
covid_2020,0.0,0.0,6128.77599315958,0.0,0.00010543520826046475,1260.2655231613558
age_at_sale,33410.59860830233,33447.183790469244,13548.854191879327,50308.39920840864,0.01963785382424078,24693.09069675735
is_reno,1402.054053227894,1004.308219632388,5798.516865793804,2177.8137674698623,0.0013024355148002172,2030.6754829599338
total_bath,6931.173655221471,7206.092688266873,5681.566439556857,14976.092994144994,0.004594116384760395,7761.882776279397
total_living_sqft,5694.328586503213,3622.9078631956872,5054.756118517586,9264.923457388268,0.00236090748595985,4383.5589464457835
log_total_living_sqft,3628.95280273267,569.5740585370712,6434.957978704751,1682.488691354319,0.00020020866653656951,1815.489957982798
log_above_ground_sqft,3142.558859672152,1453.8195822412483,5640.556233096495,2374.6602609983647,0.0006319587427550531,2471.938551590428
log_basement_sqft,3248.7905260101675,734.4062502617239,6570.117460529108,1301.3410178885883,0.00031151410773575514,1750.717936651199
has_basement,3636.8865093908307,42.83842340061272,6291.093025712397,99.8910274253479,3.3491724436882364e-05,1908.6721540551162
basement_ratio,11743.804048009935,11652.267752020292,6590.348873277159,22408.734150455777,0.008354872995539516,9158.953043874293
finished_basement_score,8658.80264427007,8529.639219395396,5623.81181510107,11229.153607686787,0.004018236119510044,6306.506844044766
has_garage,2609.8233980317555,142.99908496288305,6052.74569407196,106.84064723148865,7.348662157308068e-05,1541.1288926552381
log_garage_sqft,4790.45901097324,4433.091994597018,5881.641669925755,4572.035579498809,0.0029932378860399516,4366.10984398049
garage_ratio,5020.32025450093,2249.5707180536238,5143.8857506808,5055.896989950573,0.0013934168785950433,3896.7455804483698
beds_capped,3863.70548087435,261.2589698231385,5133.715734891041,536.0723568747334,0.00014484141085373994,1998.2137961316798
bath_capped,3073.284741989631,1245.005492453681,5486.026604016491,2132.593271495956,0.0005916905154220195,1745.297344824476
bath_per_bed,3720.3461715601966,2732.3585734476587,5165.829668241942,5754.191927764377,0.0017496022540416402,3401.6239919342524
sqft_per_bed,5663.486144802161,5135.645063145228,5368.126687178462,11950.223412253641,0.0026463870816277393,5163.049463054557
sqft_per_bath,4783.193285204599,3495.254582303537,6365.5993136973475,8156.661729487716,0.002261527995560839,4032.3446462665142
grade_sqft,82757.41195340277,91097.73552490432,49815.062872088936,87262.07709901361,0.06149894561639126,68497.84698032163
quality_score,26175.1746894167,26896.60480931634,10077.043556402865,29582.768805812157,0.02056204124073718,19789.081465038984
view_score,7041.251787600011,5200.268514006502,9053.905698342598,25479.233586417784,0.0046878194839543525,7314.791664938058
view_max,3565.4147852586148,718.0196678624045,5422.33272977443,2450.4730643915786,0.0008634214762172768,1782.9184952662165
view_count,3419.2552884222255,983.9519445820554,6320.064974682536,1108.7275831406566,0.0003694482099923854,1690.310901074424
has_view,3051.874942137389,349.07931173197915,5236.182721458714,758.3688854121604,0.00016166220232723526,1759.3180820892828
has_waterfront,0.0,0.0,6411.931633376041,0.0,0.00023878382960804424,1211.088137390115
premium_location_score,14451.723772116826,12699.463769040283,17162.058284485374,27054.241668228955,0.01497520563814252,14375.49079161544
log_age,6674.662182707829,4578.890078703565,7031.038539239026,7174.446101926906,0.002567268735265368,3980.6834426147784
age_sq,5066.94582464834,2045.1589042848354,5272.375916901889,2107.290386395111,0.00014421562352126186,2922.3735107168104
reno_age_interaction,4785.362925008079,4193.078271135911,6706.743795768665,9391.439730807624,0.004796754526447666,4536.231045563672
year_centered,3023.021013533121,0.0,22337.699179169238,0.0,0.04355305735856035,4719.940233099077
year_sq,2619.4184540996703,118.17884848219144,13159.529769935103,214.6629187047695,0.010963059456690166,2721.681216982469
post_2012,0.0,0.0,5892.302462013762,0.0,0.00013934686436847913,1136.2321323077017
post_2020,0.0,0.0,6678.478577653266,0.0,0.00029658774566317765,1341.7415320955245
area_submarket,36018.632800312545,36481.36075550848,66550.02863061675,57848.20263864503,0.04031152500168804,34231.71347053153
